callDateTime,priority,district,description,callNumber,incidentLocation,location
07/13/2015 12:50:00 PM,Low,SD,FALSE PRETENSE,P151941401,700 WASHINGTON BL,"(39.2834053,-76.6270544)"
07/13/2015 12:53:00 PM,Medium,CD,DISORDERLY,P151941402,1200 N CHARLES ST,"(39.3035501,-76.6163089)"
07/13/2015 12:54:00 PM,Medium,CD,911/NO  VOICE,P151941403,0 E REDWOOD ST,"(39.2887924,-76.6145429)"
07/13/2015 12:49:00 PM,Medium,CD,911/NO  VOICE,P151941404,300 W SARATOGA ST,"(39.2929052,-76.6197536)"
07/13/2015 12:53:00 PM,Medium,SD,DISORDERLY,P151941405,600 S PACA ST,"(39.2834882,-76.6243065)"
07/13/2015 12:52:00 PM,Medium,CD,911/NO  VOICE,P151941406,0 E REDWOOD ST,"(39.2887924,-76.6145429)"
07/13/2015 12:56:00 PM,High,CD,Traffic Stop,P151941407,600 N EUTAW ST,"(39.2958410,-76.6215870)"
07/13/2015 12:53:00 PM,Medium,ND,DISORDERLY,P151941408,2600 HAMPDEN AV,"(39.3182210,-76.6227080)"
07/13/2015 12:55:00 PM,Low,ND,AUTO ACCIDENT,P151941409,400 E 33RD ST,"(39.3286538,-76.6106640)"
07/13/2015 12:56:00 PM,Low,SW,HIT AND RUN,P151941410,700 DORCHESTER RD,"(39.2713540,-76.6939500)"
07/13/2015 12:57:00 PM,High,NW,SILENT ALARM,P151941411,5600 JONQUIL AV,"(39.3509945,-76.6876505)"
07/13/2015 12:57:00 PM,Medium,SD,BURGLARY,P151941412,500 SCOTT ST,"(39.2829562,-76.6288461)"
07/13/2015 12:59:00 PM,Non-Emergency,ND,FOLLOW UP,P151941413,6000 READY AV,"(39.3662960,-76.6088940)"
07/13/2015 01:00:00 PM,Non-Emergency,SE,Other,P151941414,2700 BOSTON ST,"(39.2796259,-76.5785027)"
07/13/2015 12:59:00 PM,Low,CD,RECOVERED VEH,P151941415,N EUTAW ST/W LEXINGTON ST,"(39.291497,-76.621058)"
07/13/2015 12:59:00 PM,Medium,ED,MENTAL CASE,P151941416,500 E PRESTON ST,"(39.3048077,-76.6092968)"
07/13/2015 12:58:00 PM,Medium,SW,NARCOTICSOutside,P151941417,CLIFTON AV/N LONGWOOD ST,"(39.311224,-76.667684)"
07/13/2015 12:59:00 PM,Medium,CD,AUTO THEFT,P151941418,200 N PACA ST,"(39.2918833,-76.6226802)"
07/13/2015 01:01:00 PM,Medium,ED,911/NO  VOICE,P151941419,500 E PRESTON ST,"(39.3048077,-76.6092968)"
07/13/2015 12:59:00 PM,Non-Emergency,SW,Repo,P151941420,500 S CATON AV,"(39.2787867,-76.6716395)"
07/13/2015 01:00:00 PM,Medium,ED,FAMILY DISTURB,P151941421,2800 E MONUMENT ST,"(39.2990401,-76.5780319)"
07/13/2015 01:00:00 PM,Low,WD,OTHER,P151941422,1900 W NORTH AV,"(39.3100225,-76.6482806)"
07/13/2015 01:01:00 PM,Medium,CD,BURGLARY,P151941423,1100 SHIELDS PL,"(39.2975759,-76.6299743)"
07/13/2015 01:02:00 PM,Medium,CD,DISORDERLY,P151941424,HARD ROCK CAFE,"(39.286664,-76.607712)"
07/13/2015 01:02:00 PM,Medium,WD,911/NO  VOICE,P151941425,2500 W NORTH AV,"(39.3100039,-76.6587889)"
07/13/2015 01:01:00 PM,Medium,CD,DISORDERLY,P151941426,700 DOLPHIN ST,"(39.2982040,-76.6318200)"
07/13/2015 01:01:00 PM,Low,ND,RUNAWAY,P151941427,1900 N HOWARD ST,"(39.3116580,-76.6196800)"
07/13/2015 01:00:00 PM,Low,NE,LARCENCY,P151941428,3500 HARFORD RD,"(39.3299106,-76.5818185)"
07/13/2015 01:03:00 PM,Medium,SD,DISORDERLY,P151941429,1200 BLK RIVERSIDE AV,"(39.2762095,-76.6090666)"
07/13/2015 01:05:00 PM,Medium,SD,SICK CASE,P151941430,S MONROE ST/LEMMON ST,"(39.285666,-76.646787)"
